vendor_id,vendor_name,category,contact_person,email,phone,location,trn_number
VEN-027,Campbell Group,IT Hardware,Rodney Johnson,amandataylor@robles-atkinson.com,+971-4-5047105,Dubai Investment Park,10024508821009
VEN-028,"Carlson, Medina and Arroyo",Manpower Supply,Paul Berger,jason82@white.com,+971-4-5948517,Dubai Investment Park,10031290878149
VEN-029,"Jones, Garcia and Swanson",Catering Services,Mr. Carl Rios,mitchellchad@stewart.com,+971-4-6927357,Ras Al Khor,10094929955629
VEN-030,Edwards and Sons,Catering Services,Margaret Hill,dennis57@griffin-hampton.info,+971-4-9608439,International City,10081291428349
VEN-031,"Mercado, Jones and Jones",Heavy Machinery,Jonathon Johnson,nhammond@arnold.net,+971-4-1926125,International City,10072563942789
VEN-032,"Davis, Cox and Smith",IT Software & Licensing,Victor Holden,katherinetaylor@white.com,+971-4-7863792,Al Quoz,10075037314539
VEN-033,Barnett PLC,IT Software & Licensing,Heather Harrison,ckeith@nguyen.com,+971-4-4929183,Dubai Investment Park,10049892665919
VEN-034,"King, Kaufman and Walker",Heavy Machinery,Robert Reed,aeaton@macias.net,+971-4-3888675,Dubai Investment Park,10043222591369
VEN-035,Cortez-Olson,Catering Services,Daniel Martin,cjohnson@berry.com,+971-4-2290828,Ras Al Khor,10080920242869
VEN-036,"Costa, Walsh and Johns",Logistics & Transport,Samantha Valentine,shanehaney@jackson-greer.org,+971-4-9058948,International City,10029298425799
VEN-037,"Jones, Gray and Anderson",Logistics & Transport,Joseph Blankenship,mserrano@thompson.org,+971-4-2217610,Jebel Ali,10008811729809
VEN-038,"Banks, Boyd and Wood",Logistics & Transport,Joseph Perez,yclarke@chapman-figueroa.org,+971-4-4097969,Dubai Investment Park,10016247314989
VEN-039,Scott-Smith,IT Software & Licensing,Adrienne Mills,brooksjamie@ortiz-rodriguez.biz,+971-4-1099767,Ras Al Khor,10094486959469
VEN-040,Gutierrez PLC,Logistics & Transport,Mr. Justin King,becky62@wilson.com,+971-4-2697631,Ras Al Khor,10013865890269
